id,Model,ProductCode,PlannedQty,OTSTargeDate
1,GYG50,NB01,11,2020/10/9
2,HC131,NB12,100,2020/10/22
3,FS54A,NB12,300,2020/11/2
4,GL4A0,NB01,1,2020/10/20
5,GY55K,NB12,224,2020/10/1
6,GX3A1,NB01,10,2020/10/17
7,GYG50,NB01,1,2020/10/24
8,FYG50,NB12,1,2020/10/9
9,GP540,NB01,1,2020/10/9
10,GL4A0,NB01,3,2020/10/9
11,GX4A0,NB01,1,2020/10/9
12,GL4A0,NB01,23,2020/10/9
13,GYG91,NB12,50,2020/11/2
14,GT4A1,NB01,5,2020/10/9
15,GYG50,NB01,2,2020/10/9
16,GYG50,NB01,8,2020/10/9
17,GYG50,NB01,16,2020/10/9
18,GT4A1,NB01,2,2020/10/9
19,HC131,NB12,300,2020/10/22
20,HC131,NB12,300,2020/10/22
21,HC131,NB12,300,2020/10/22
22,HC131,NB12,100,2020/10/22
23,HC131,NB12,300,2020/10/22
24,HC131,NB12,300,2020/10/22
25,HC131,NB12,300,2020/10/22
26,HC131,NB12,100,2020/10/22
27,GE420,NB01,1,2020/9/20
28,FP530,NB01,2,2020/9/22
29,FE5A0,NB01,2,2020/9/21
30,FS54A,NB12,156,2020/11/2
31,FS54A,NB12,177,2020/11/2
32,FS54A,NB12,300,2020/11/2
33,FS54A,NB12,267,2020/11/2
34,FYG50,NB12,5,2020/10/1
35,GV551,NB12,75,2020/11/2
36,GS450,NB12,300,2020/11/2
37,GS450,NB12,300,2020/11/2
38,GS450,NB12,50,2020/11/2
39,FYG50,NB12,45,2020/10/1
40,GS454,NB12,72,2020/11/2
41,GL4A0,NB01,1,2020/10/20
42,GL5A0,NB01,8,2020/10/20
43,GL5A0,NB01,4,2020/10/20
44,GT4A0,NB01,10,2020/10/20
45,GL4A0,NB01,10,2020/10/20
46,GL4A0,NB01,4,2020/10/20
47,GL4A0,NB01,2,2020/10/20
48,GT4A0,NB01,10,2020/10/20
49,GT4A0,NB01,50,2020/10/20
50,GT4A0,NB01,2,2020/10/20
51,GT4A0,NB01,2,2020/10/20
52,GY55K,NB12,224,2020/10/1
53,GY55K,NB12,224,2020/10/1
54,GY55K,NB12,224,2020/10/1
55,GY55K,NB12,224,2020/10/1
56,GY55K,NB12,224,2020/10/1
57,GY55K,NB12,224,2020/10/1
58,GY55K,NB12,224,2020/10/1
59,GY55K,NB12,224,2020/10/1
60,GY55K,NB12,224,2020/10/1
61,GY55K,NB12,224,2020/10/1
62,GL4A0,NB01,5,2020/10/17
63,GL5A0,NB01,1,2020/10/17
64,GL4A0,NB01,5,2020/10/17
65,GL4A0,NB01,3,2020/10/17
66,GL4A0,NB01,4,2020/10/17
67,GL4A0,NB01,2,2020/10/18
68,GL4A0,NB01,2,2020/10/18
69,GL4A0,NB01,78,2020/10/18
70,GL4A0,NB01,1,2020/10/19
71,GL4A0,NB01,50,2020/10/19
72,GL4A0,NB01,50,2020/10/19
73,GX4A0,NB01,1,2020/10/9
74,HC150,NB12,300,2020/10/27
75,GY535,NB12,25,2020/7/30
76,GT4A0,NB01,2,2020/10/20
77,GS55E,NB12,40,2020/9/15
78,GL4A0,NB01,43,2020/10/19
79,GL4A0,NB01,20,2020/10/9
80,GL4A0,NB01,50,2020/10/9
81,GT4A1,NB01,1,2020/10/9
82,GT4A1,NB01,1,2020/10/9
83,GL4A0,NB01,60,2020/10/9
84,GL4A0,NB01,25,2020/10/9
85,GX4A0,NB01,1,2020/10/9
86,GX4A0,NB01,50,2020/10/9
87,GL4A0,NB01,30,2020/10/9
88,GX4A0,NB01,12,2020/10/9
89,GL4A0,NB01,30,2020/10/9
90,HC150,NB12,300,2020/10/27
91,HC150,NB12,173,2020/10/27
92,HC150,NB12,300,2020/10/27
93,HC150,NB12,300,2020/10/27
94,HC150,NB12,300,2020/10/27
95,HC150,NB12,300,2020/10/27
96,HC150,NB12,300,2020/10/27
97,HC150,NB12,228,2020/10/27
98,HC150,NB12,300,2020/10/27
99,HC150,NB12,276,2020/10/27
100,FYG50,NB12,30,2020/10/1
101,FY515,NB12,126,2020/7/27
102,FY515,NB12,2,2020/7/27
103,FY515,NB12,124,2020/7/27
104,FYG50,NB12,50,2020/10/1
105,FYG50,NB12,45,2020/10/1
106,GS450,NB12,168,2020/11/2
107,GS540,NB12,225,2020/11/2
108,FYG80,NB12,69,2020/10/2
109,FYG80,NB12,69,2020/10/1
110,FYG80,NB12,69,2020/10/2
111,GY510,NB12,2,2020/10/22
112,GL5A0,NB01,30,2020/10/20
113,GL4A0,NB01,2,2020/10/20
114,GL4A0,NB01,120,2020/10/20
115,GL4A0,NB01,150,2020/10/20
116,GT4A0,NB01,1,2020/10/20
117,GL4A0,NB01,150,2020/10/20
118,GT4A0,NB01,20,2020/10/20
119,GT4A0,NB01,10,2020/10/20
120,GT4A0,NB01,5,2020/10/20
121,GT4A0,NB01,20,2020/10/20
122,GS55E,NB12,240,2020/11/2
123,GS55E,NB12,240,2020/11/2
124,GS55E,NB12,240,2020/11/2
125,GS55E,NB12,240,2020/11/2
126,GS55E,NB12,240,2020/11/2
127,GS55E,NB12,240,2020/11/2
128,GS55E,NB12,240,2020/11/2
129,GS55E,NB12,240,2020/11/2
130,GS55E,NB12,240,2020/11/2
131,GS55E,NB12,240,2020/11/2
132,GS55E,NB12,240,2020/11/2
133,GL4A0,NB01,75,2020/10/9
134,HC150,NB12,300,2020/10/27
135,FYG80,NB12,69,2020/10/2
136,GY510,NB12,10,2020/10/22
137,GS55E,NB12,240,2020/11/2
138,GX4A0,NB01,1,2020/10/9
139,GL4A0,NB01,1,2020/10/9
140,GL4A0,NB01,5,2020/10/9
141,GL4A0,NB01,21,2020/10/9
142,GL4A0,NB01,42,2020/10/9
143,GL4A0,NB01,5,2020/10/9
144,GX4A0,NB01,5,2020/10/9
145,FYG50,NB12,1,2020/10/9
146,GYG50,NB01,2,2020/10/9
147,GYG50,NB01,198,2020/10/9
148,GY750,NB12,1,2020/11/2
149,HC150,NB12,130,2020/10/27
150,GS454,NB12,1,2020/9/24
151,FX490,NB01,220,2020/10/9
152,GY55H,NB12,100,2020/10/2
153,FYG80,NB12,5,2020/10/2
154,GV550,NB12,2,2020/11/2
155,FE4A0,NB01,50,2020/9/24
156,FE4A0,NB01,80,2020/9/25
157,FE4A0,NB01,40,2020/9/25
158,FE4A0,NB01,80,2020/9/25
159,FE4A0,NB01,50,2020/9/25
160,FE4A0,NB01,65,2020/9/25
161,GYG50,NB01,2,2020/10/9
162,FE4A0,NB01,22,2020/9/23
163,GYG50,NB01,40,2020/10/9
164,GL4A0,NB01,10,2020/10/9
165,GL4A0,NB01,21,2020/10/10
166,HC150,NB12,3,2020/10/10
167,GYG50,NB01,2,2020/10/10
168,GYG50,NB01,2,2020/10/10
169,FYG50,NB12,1,2020/10/11
170,FE595,NB01,1,2020/10/11
171,GYG50,NB01,1,2020/10/11
172,GV451,NB12,3,2020/11/2
173,GYG50,NB01,2,2020/10/11
174,FE4A0,NB01,2,2020/9/23
175,GT4A0,NB01,10,2020/9/24
176,FE4A0,NB01,8,2020/9/24
177,GV550,NB12,3,2020/11/2
178,GE420,NB01,1,2020/9/24
179,FE4A0,NB01,1,2020/9/26
180,FE4A0,NB01,1,2020/9/26
181,FE4A0,NB01,9,2020/9/28
182,FE4A0,NB01,1,2020/9/28
183,FE4A0,NB01,10,2020/9/26
184,FE4A0,NB01,9,2020/9/26
185,FE4A0,NB01,1,2020/9/27
186,FYG80,NB12,20,2020/10/2
187,GS550,NB12,10,2020/10/2
188,FY515,NB12,42,2020/7/30
189,FYG50,NB12,5,2020/10/1
190,FYG80,NB12,186,2020/10/2
191,GS554,NB12,189,2020/10/2
192,FYG80,NB12,20,2020/10/2
193,GV551,NB12,29,2020/9/7
194,FYG50,NB12,50,2020/10/1
195,FYG50,NB12,50,2020/10/1
196,FYG41,NB12,50,2020/10/22
197,FYG50,NB12,40,2020/10/1
198,GP740,NB01,300,2020/10/12
199,FE4A0,NB01,4,2020/9/27
200,FYG50,NB12,40,2020/10/1
201,GP740,NB01,35,2020/10/12
202,GL4A0,NB01,30,2020/10/11
203,GL4A0,NB01,2,2020/10/11
204,FYG80,NB12,1,2020/10/11
205,GL4A0,NB01,1,2020/10/11
206,GT4A1,NB01,12,2020/10/11
207,FYG50,NB12,1,2020/10/11
208,FYG50,NB12,1,2020/10/11
209,FL590,NB01,1,2020/10/11
210,GT4A1,NB01,1,2020/10/11
211,GT4A1,NB01,1,2020/10/11
212,GYG50,NB01,6,2020/10/11
213,FE4A0,NB01,11,2020/9/29
214,FE4A0,NB01,1,2020/9/27
215,GYGB0,NB12,25,2020/11/13
216,GYGB0,NB12,30,2020/11/2
217,GYGB0,NB12,2,2020/11/2
218,GYGB0,NB12,123,2020/11/2
219,FE4A0,NB01,2,2020/9/28
220,GT4A0,NB01,7,2020/9/28
221,GT4A0,NB01,1,2020/9/28
222,FE4A0,NB01,1,2020/9/28
223,FE4A0,NB01,1,2020/9/28
224,GT4A1,NB01,1,2020/10/11
225,FE4A0,NB01,1,2020/9/30
226,GP540,NB01,1,2020/10/12
227,GX4A0,NB01,1,2020/10/12
228,GX4A0,NB01,1,2020/10/12
229,FYG50,NB12,4,2020/10/12
230,GL4A0,NB01,1,2020/10/12
231,GT4A1,NB01,2,2020/10/12
232,GYG50,NB01,2,2020/10/12
233,GT4A1,NB01,1,2020/10/12
234,GX4A0,NB01,1,2020/10/12
235,GT4A1,NB01,2,2020/10/12
236,FYG50,NB12,1,2020/10/12
237,HC150,NB12,2,2020/10/12
238,GT4A0,NB01,1,2020/10/20
239,GL4A0,NB01,2,2020/10/20
240,GL4A0,NB01,1,2020/10/20
241,GL4A0,NB01,10,2020/10/22
242,GL4A0,NB01,123,2020/10/21
243,GL4A0,NB01,132,2020/10/21
244,GX4A0,NB01,78,2020/10/21
245,GL4A0,NB01,3,2020/10/21
246,GL4A0,NB01,6,2020/10/21
247,GL4A0,NB01,1,2020/10/21
248,GS55E,NB12,240,2020/11/2
249,GS55E,NB12,240,2020/11/2
250,GS55E,NB12,240,2020/11/2
251,GS55E,NB12,240,2020/11/2
252,GS55E,NB12,240,2020/11/2
253,GS55E,NB12,240,2020/11/2
254,GS55E,NB12,240,2020/11/2
255,GS55E,NB12,240,2020/11/2
256,GS55E,NB12,240,2020/11/2
257,GS55E,NB12,240,2020/11/2
258,GL4A0,NB01,66,2020/10/20
259,GT4A0,NB01,1,2020/10/20
260,FYG80,NB12,1,2020/10/20
261,GL4A0,NB01,13,2020/10/21
262,GT4A0,NB01,6,2020/10/21
263,GT4A0,NB01,4,2020/10/21
264,GP540,NB01,3,2020/10/21
265,GT4A0,NB01,17,2020/10/21
266,GL5A0,NB01,1,2020/10/21
267,GL4A0,NB01,1,2020/10/21
268,FYG80,NB12,20,2020/11/2
269,GL5A5,NB01,6,2020/8/6
270,GV551,NB12,300,2020/11/2
271,GV551,NB12,78,2020/11/2
272,GV551,NB12,150,2020/11/2
273,GV551,NB12,180,2020/11/2
274,GY530,NB12,2,2020/10/1
275,GV551,NB12,200,2020/11/2
276,FYG41,NB12,15,2020/11/2
277,FYG41,NB12,20,2020/11/2
278,FYG41,NB12,10,2020/11/2
279,FE4A0,NB01,1,2020/9/30
280,FE4A0,NB01,1,2020/9/28
281,GYGB0,NB12,35,2020/11/13
282,HS355,NB12,25,2020/11/2
283,FE4A0,NB01,1,2020/9/29
284,GYGB0,NB12,30,2020/11/2
285,GX4A0,NB01,3,2020/10/1
286,GYG50,NB01,4,2020/10/1
287,GX4A0,NB01,10,2020/10/1
288,FE4A0,NB01,1,2020/9/29
289,GT4A0,NB01,2,2020/9/29
290,GL5A0,NB01,8,2020/10/12
291,FYG50,NB12,5,2020/10/12
292,GX4A0,NB01,10,2020/10/12
293,GT4A1,NB01,9,2020/10/13
294,GT4A1,NB01,1,2020/10/13
295,GT4A1,NB01,1,2020/10/13
296,FYG50,NB12,1,2020/10/13
297,GP540,NB01,5,2020/10/15
298,GYG50,NB01,5,2020/10/13
299,GL5A0,NB01,5,2020/10/13
300,FYG50,NB12,1,2020/10/13
301,GL4A0,NB01,1,2020/10/13
302,GX4A0,NB01,5,2020/9/29
303,GS450,NB12,300,2020/11/2
304,GL5A0,NB01,1,2020/10/21
305,GS55E,NB12,240,2020/11/2
306,GS55E,NB12,240,2020/11/2
307,GS55E,NB12,240,2020/11/2
308,GS55E,NB12,240,2020/11/2
309,GS55E,NB12,240,2020/11/2
310,GS55E,NB12,240,2020/11/2
311,GL5A0,NB01,3,2020/10/21
312,GT4A0,NB01,50,2020/10/21
313,GP4A0,NB01,3,2020/10/21
314,GP4A0,NB01,2,2020/10/21
315,GT4A0,NB01,20,2020/10/21
316,GT4A0,NB01,10,2020/10/21
317,GT4A0,NB01,10,2020/10/21
318,GT4A0,NB01,2,2020/10/21
319,GT4A0,NB01,6,2020/10/21
320,GT4A0,NB01,4,2020/10/21
321,GS554,NB12,3,2020/10/26
322,GV550,NB12,1,2020/9/7
323,GE520,NB01,10,2020/8/11
324,FYG41,NB12,20,2020/11/2
325,FYG41,NB12,15,2020/11/2
326,FYG50,NB12,10,2020/10/1
327,FG741,NB12,19,2020/10/1
328,FYG80,NB12,4,2020/11/2
329,FYG41,NB12,8,2020/11/2
330,FY515,NB12,1,2020/11/2
331,FY515,NB12,2,2020/10/15
332,GT4A0,NB01,2,2020/9/30
333,GX4A0,NB01,4,2020/10/2
334,GL4A0,NB01,34,2020/9/30
335,GL4A0,NB01,19,2020/10/2
336,GT4A0,NB01,8,2020/9/30
337,GT4A0,NB01,6,2020/9/30
338,GT4A0,NB01,1,2020/10/2
339,GT4A0,NB01,1,2020/10/3
340,GT4A0,NB01,1,2020/10/3
341,GT4A0,NB01,1,2020/10/3
342,GL4A0,NB01,1,2020/10/13
343,GYG50,NB01,1,2020/10/13
344,GT4A1,NB01,1,2020/10/13
345,GY559,NB12,170,2020/11/2
346,FYG50,NB12,1,2020/10/13
347,GT4A1,NB01,2,2020/10/13
348,GX4A0,NB01,1,2020/10/13
349,FP730,NB01,15,2020/10/13
350,FYG80,NB12,124,2020/11/2
351,GL4A0,NB01,12,2020/10/13
352,GT4A1,NB01,2,2020/10/13
353,GT4A1,NB01,3,2020/10/13
354,GT4A0,NB01,1,2020/10/3
355,FY515,NB12,300,2020/10/15
356,GL5A0,NB01,10,2020/10/21
357,FX490,NB01,8,2020/11/10
358,GL4A0,NB01,3,2020/10/24
359,GX4A0,NB01,1,2020/10/24
360,GT4A0,NB01,5,2020/10/24
361,GT4A0,NB01,75,2020/10/24
362,GT4A0,NB01,90,2020/10/24
363,GT4A0,NB01,90,2020/10/24
364,GT4A0,NB01,90,2020/10/24
365,GT4A0,NB01,90,2020/10/24
366,GYG50,NB01,1,2020/10/24
367,GX4A0,NB01,50,2020/11/23
368,GYG50,NB01,1,2020/10/24
369,FX490,NB01,96,2020/11/10
370,FX490,NB01,96,2020/11/10
371,GY55K,NB12,224,2020/11/1
372,GY55K,NB12,224,2020/11/1
373,GY55K,NB12,224,2020/11/1
374,GY55K,NB12,224,2020/11/1
375,GY554,NB12,170,2020/10/1
376,GY55K,NB12,224,2020/10/1
377,GY55K,NB12,224,2020/10/1
378,GY55K,NB12,224,2020/10/1
379,GV450,NB12,300,2020/11/3
380,GT4A0,NB01,120,2020/10/21
381,GL5A0,NB01,8,2020/10/21
382,GL5A0,NB01,4,2020/10/21
383,GT4A0,NB01,27,2020/10/21
384,GT4A0,NB01,5,2020/10/21
385,GT4A0,NB01,1,2020/10/21
386,GL5A0,NB01,2,2020/10/21
387,GP54G,NB01,5,2020/11/17
388,GP54G,NB01,5,2020/11/17
389,GP54G,NB01,5,2020/11/17
390,GT4A0,NB01,20,2020/10/22
391,FY515,NB12,98,2020/10/15
392,FY515,NB12,1,2020/11/2
393,FY515,NB12,1,2020/11/2
394,GS454,NB12,34,2020/8/25
395,FY515,NB12,1,2020/11/2
396,GY559,NB12,33,2020/10/28
397,GS55D,NB12,33,2020/11/2
398,GY55B,NB12,84,2020/10/28
399,FYG80,NB12,20,2020/11/2
400,GY535,NB12,10,2020/10/2
401,FYG41,NB12,120,2020/11/2
402,GT4A0,NB01,1,2020/10/3
403,GT4A0,NB01,1,2020/10/3
404,GT4A0,NB01,1,2020/10/3
405,GT4A0,NB01,1,2020/10/3
406,GT4A0,NB01,1,2020/10/3
407,GT4A0,NB01,1,2020/10/3
408,GT4A0,NB01,1,2020/10/3
409,GT4A0,NB01,1,2020/10/3
410,GT4A0,NB01,1,2020/10/3
411,GT4A0,NB01,1,2020/10/3
412,GT4A1,NB01,1,2020/10/13
413,GT4A1,NB01,1,2020/10/13
414,GT4A1,NB01,15,2020/10/14
415,GL4A0,NB01,30,2020/10/16
416,GL4A0,NB01,21,2020/10/14
417,GT4A1,NB01,1,2020/10/14
418,GT4A1,NB01,1,2020/10/14
419,GT4A1,NB01,1,2020/10/14
420,GL4A0,NB01,30,2020/10/16
421,FYG50,NB12,1,2020/10/14
422,GT4A1,NB01,1,2020/10/14
423,GL4A0,NB01,2,2020/10/14
424,GT4A0,NB01,1,2020/10/3
425,FY515,NB12,30,2020/10/15
426,GT4A0,NB01,3,2020/10/21
427,GV450,NB12,50,2020/11/3
428,GX4A0,NB01,35,2020/10/26
429,GT4A1,NB01,1,2020/10/14
430,GT5A1,NB01,25,2020/10/15
431,FYG41,NB12,1,2020/10/15
432,GL4A0,NB01,1,2020/10/15
433,FYG50,NB12,2,2020/10/15
434,GT4A0,NB01,2,2020/10/15
435,GT4A0,NB01,300,2020/10/15
436,GT4A0,NB01,101,2020/10/15
437,GYGB0,NB12,1,2020/10/21
438,FE595,NB01,3,2020/10/15
439,FYG80,NB12,1,2020/10/15
440,GT4A0,NB01,1,2020/10/3
441,GT4A0,NB01,1,2020/10/3
442,GT4A0,NB01,1,2020/10/3
443,GT4A0,NB01,1,2020/10/3
444,GT4A0,NB01,1,2020/10/3
445,GT4A0,NB01,1,2020/10/3
446,GL4A0,NB01,1,2020/10/5
447,GT4A0,NB01,4,2020/10/3
448,HC131,NB12,5,2020/10/29
449,HC131,NB12,5,2020/10/29
450,GYGB0,NB12,100,2020/11/2
451,FY515,NB12,30,2020/10/26
452,GY530,NB12,30,2020/10/28
453,FYG80,NB12,200,2020/10/15
454,FYG41,NB12,40,2020/11/2
455,FYG41,NB12,10,2020/11/2
456,FYG80,NB12,100,2020/10/2
457,GE520,NB01,300,2020/8/18
458,GE520,NB01,20,2020/8/18
459,GY55H,NB12,25,2020/10/28
460,GY55H,NB12,10,2020/10/28
461,GY530,NB12,12,2020/10/28
462,GY55B,NB12,4,2020/10/28
463,GT4A0,NB01,5,2020/10/21
464,GT4A0,NB01,15,2020/10/22
465,GT4A0,NB01,2,2020/10/22
466,GT4A0,NB01,6,2020/10/22
467,GT4A0,NB01,10,2020/10/22
468,GT4A0,NB01,5,2020/10/22
469,GT4A0,NB01,10,2020/10/22
470,GT4A0,NB01,10,2020/10/22
471,GT4A0,NB01,20,2020/10/22
472,GT4A0,NB01,3,2020/10/22
473,GV451,NB12,300,2020/10/2
474,GV451,NB12,300,2020/10/2
475,GV451,NB12,50,2020/10/2
476,GY552,NB12,224,2020/11/1
477,GY552,NB12,224,2020/11/1
478,GY552,NB12,224,2020/11/1
479,GY552,NB12,224,2020/11/1
480,GY552,NB12,224,2020/11/1
481,GY552,NB12,224,2020/11/1
482,GY552,NB12,192,2020/11/1
483,GX4A0,NB01,96,2020/10/26
484,GX4A0,NB01,96,2020/10/26
485,GX4A0,NB01,96,2020/10/26
486,GX4A0,NB01,96,2020/10/26
487,GT4A0,NB01,2,2020/10/26
488,GX4A0,NB01,96,2020/10/26
489,GYG50,NB01,3,2020/10/28
490,GT4A0,NB01,1,2020/10/25
491,GL4A0,NB01,4,2020/10/25
492,GL4A0,NB01,1,2020/10/25
493,GT4A0,NB01,10,2020/10/27
494,FYG80,NB12,1,2020/10/15
495,GL4A0,NB01,2,2020/10/6
496,GY55B,NB12,6,2020/10/28
497,GT4A0,NB01,5,2020/10/22
498,HS550,NB12,120,2020/10/1
499,GT4A0,NB01,15,2020/10/27
500,FYG50,NB12,1,2020/10/16
501,GT4A0,NB01,20,2020/10/16
502,GT4A0,NB01,20,2020/10/16
503,FYG50,NB12,1,2020/10/16
504,FYG50,NB12,1,2020/10/17
505,FYG80,NB12,1,2020/10/17
506,FYG50,NB12,1,2020/10/17
507,FYG50,NB12,1,2020/10/17
508,GT4A0,NB01,15,2020/10/17
509,GT4A0,NB01,15,2020/10/17
510,GT4A0,NB01,25,2020/10/17
511,GT4A0,NB01,10,2020/10/17
512,GT4A0,NB01,20,2020/10/17
513,GT4A0,NB01,1,2020/10/27
514,GT4A0,NB01,1,2020/10/26
515,GX4A0,NB01,96,2020/10/28
516,GX4A0,NB01,96,2020/10/28
517,GX4A0,NB01,96,2020/10/28
518,GX4A0,NB01,96,2020/10/28
519,GT4A0,NB01,37,2020/10/28
520,GT4A0,NB01,90,2020/10/28
521,GT4A0,NB01,90,2020/10/28
522,GT4A0,NB01,90,2020/10/28
523,GT4A0,NB01,90,2020/10/28
524,GT4A0,NB01,15,2020/10/17
525,GT4A0,NB01,10,2020/10/17
526,GT4A0,NB01,15,2020/10/17
527,GT4A0,NB01,30,2020/10/17
528,GT4A0,NB01,20,2020/10/17
529,GT4A0,NB01,10,2020/10/17
530,GT4A0,NB01,33,2020/10/17
531,GT4A0,NB01,10,2020/10/17
532,GL5A5,NB01,300,2020/10/17
533,GL5A5,NB01,300,2020/10/17
534,GS55J,NB12,100,2020/10/9
535,GT4A1,NB01,1,2020/10/4
536,GL4A0,NB01,1,2020/10/7
537,GYG51,NB12,2,2020/11/2
538,GYG51,NB12,148,2020/11/2
539,GYG51,NB12,100,2020/11/2
540,GYG51,NB12,50,2020/11/2
541,GT4A0,NB01,10,2020/10/5
542,GL5A0,NB01,3,2020/11/12
543,GL4A0,NB01,2,2020/10/8
544,GT4A0,NB01,14,2020/10/9
545,GT4A0,NB01,4,2020/10/9
546,GY530,NB12,3,2020/10/28
547,GY530,NB12,5,2020/10/28
548,GY55H,NB12,15,2020/10/28
549,GY530,NB12,3,2020/10/28
550,GY55H,NB12,15,2020/10/28
551,FY515,NB12,1,2020/11/2
552,FG542,NB12,5,2020/10/20
553,GL4A5,NB01,1,2020/8/24
554,GS450,NB12,300,2020/11/2
555,GS450,NB12,108,2020/11/2
556,GY55D,NB12,99,2020/10/28
557,GT4A0,NB01,2,2020/10/22
558,GT4A0,NB01,15,2020/10/22
559,GYG50,NB01,12,2020/11/13
560,GX4A0,NB01,10,2020/11/13
561,GYG50,NB01,25,2020/10/26
562,GYG50,NB01,25,2020/10/24
563,GL5A0,NB01,1,2020/10/22
564,GL5A0,NB01,1,2020/10/24
565,GY510,NB12,3,2020/10/24
566,DMX3A,NB01,1,2020/11/13
567,GT4A0,NB01,6,2020/10/24
568,GP54G,NB01,5,2020/11/18
569,HS550,NB12,120,2020/10/1
570,HS550,NB12,120,2020/10/1
571,HS550,NB12,120,2020/10/1
572,HS550,NB12,120,2020/10/1
573,HS550,NB12,120,2020/10/1
574,HS550,NB12,120,2020/10/1
575,HS550,NB12,120,2020/10/1
576,HS550,NB12,120,2020/10/1
577,HS550,NB12,120,2020/10/1
578,HS550,NB12,120,2020/10/1
579,HS550,NB12,120,2020/10/1
580,HS550,NB12,120,2020/10/1
581,GL5A5,NB01,240,2020/10/17
582,GT4A1,NB01,2,2020/10/9
583,GY55F,NB12,20,2020/10/28
584,GP54G,NB01,5,2020/11/18
585,HS550,NB12,120,2020/10/1
586,GT4A0,NB01,90,2020/10/28
587,GS554,NB12,33,2020/10/31
588,GT4A0,NB01,20,2020/10/18
589,FYG50,NB12,1,2020/10/18
590,GP540,NB01,1,2020/10/18
591,FYG50,NB12,1,2020/10/18
592,FYG50,NB12,1,2020/10/18
593,GP540,NB01,1,2020/10/18
594,FYG41,NB12,1,2020/10/18
595,GL5A0,NB01,5,2020/10/18
596,FYG80,NB12,1,2020/10/18
597,FP530,NB01,5,2020/10/19
598,FYG80,NB12,1,2020/10/19
599,FE595,NB01,5,2020/10/9
600,FYG41,NB12,1,2020/10/9
601,GYG51,NB12,70,2020/11/2
602,GS750,NB12,1,2020/10/9
603,GL4A0,NB01,19,2020/10/9
604,GS750,NB12,1,2020/10/9
605,GS750,NB12,1,2020/10/9
606,GYG50,NB01,1,2020/10/9
607,GL4A0,NB01,1,2020/10/9
608,FE595,NB01,1,2020/10/9
609,FE595,NB01,1,2020/10/9
610,FE595,NB01,1,2020/10/9
611,GY55D,NB12,10,2020/10/28
612,GY55R,NB12,20,2020/10/28
613,GY55D,NB12,10,2020/10/28
614,HC150,NB12,1,2020/10/1
615,HC110,NB12,20,2020/11/1
616,HC130,NB12,10,2020/11/2
617,HC130,NB12,10,2020/11/2
618,HC150,NB12,2,2020/10/1
619,HC150,NB12,1,2020/10/1
620,GV451,NB12,264,2020/10/15
621,GV451,NB12,300,2020/11/2
622,GV451,NB12,300,2020/11/2
623,GT4A0,NB01,10,2020/10/24
624,GL4A0,NB01,50,2020/10/24
625,GYG50,NB01,1,2020/10/24
626,GT4A0,NB01,10,2020/10/24
627,GL4A0,NB01,1,2020/10/24
628,GT4A1,NB01,1,2020/10/25
629,GL5A0,NB01,1,2020/10/24
630,GT4A0,NB01,3,2020/10/24
631,GT4A0,NB01,1,2020/10/24
632,GP540,NB01,24,2020/10/24
633,GL5A0,NB01,1,2020/10/24
634,HS550,NB12,120,2020/10/1
635,HS550,NB12,120,2020/10/1
636,HS550,NB12,120,2020/10/1
637,HS550,NB12,120,2020/10/1
638,HS550,NB12,120,2020/10/1
639,HS550,NB12,120,2020/10/1
640,HS550,NB12,120,2020/10/1
641,HS550,NB12,120,2020/10/1
642,HS550,NB12,120,2020/10/1
643,HS550,NB12,120,2020/10/1
644,HS550,NB12,120,2020/10/1
645,HS550,NB12,120,2020/10/1
646,GT4A0,NB01,1,2020/10/28
647,GT4A0,NB01,3,2020/10/28
648,FL490,NB01,90,2020/10/28
649,GT4A0,NB01,1,2020/10/29
650,GP4A0,NB01,90,2020/10/29
651,GX4A0,NB01,1,2020/10/28
652,GT4A0,NB01,1,2020/10/31
653,GX3A1,NB01,40,2020/11/2
654,GY510,NB12,1,2020/11/2
655,GY510,NB12,1,2020/11/2
656,GL4A0,NB01,40,2020/11/2
657,FYG50,NB12,1,2020/10/19
658,FE595,NB01,1,2020/10/9
659,GV451,NB12,16,2020/11/2
660,GT4A0,NB01,1,2020/10/24
661,HS550,NB12,120,2020/10/1
662,GL4A0,NB01,2,2020/11/2
663,GL4A0,NB01,88,2020/11/2
664,GL4A0,NB01,2,2020/11/2
665,GL4A0,NB01,88,2020/11/2
666,GP540,NB01,1,2020/11/2
667,GP540,NB01,22,2020/11/2
668,GP540,NB01,1,2020/11/2
669,GX3A1,NB01,3,2020/11/2
670,GX3A1,NB01,2,2020/11/2
671,GP540,NB01,30,2020/11/2
672,GP540,NB01,9,2020/11/2
673,GP540,NB01,9,2020/11/2
674,HS550,NB12,120,2020/10/1
675,HS550,NB12,120,2020/10/1
676,HS550,NB12,120,2020/10/1
677,HS550,NB12,120,2020/10/1
678,HS550,NB12,120,2020/10/1
679,HS550,NB12,120,2020/10/1
680,HS550,NB12,120,2020/10/1
681,HS550,NB12,120,2020/10/1
682,HS550,NB12,120,2020/10/1
683,HS550,NB12,120,2020/10/1
684,HS550,NB12,120,2020/10/1
685,HS550,NB12,120,2020/10/1
686,GL5A0,NB01,1,2020/10/24
687,GL5A0,NB01,1,2020/10/24
688,GL5A0,NB01,1,2020/10/24
689,GT4A0,NB01,10,2020/10/24
690,GT4A0,NB01,8,2020/10/24
691,GT4A0,NB01,1,2020/10/24
